latitude,longitude,capacity,iday,imonth,iyear,date
53.344104,-6.267494,1,3,4,1970,3/4/1970
54.99451,-7.319996,5,26,6,1970,26/6/1970
54.99451,-7.319996,3,27,6,1970,27/6/1970
54.597269,-5.930109,1,27,6,1970,27/6/1970
54.597269,-5.930109,1,27,6,1970,27/6/1970
54.597269,-5.930109,3,27,6,1970,27/6/1970
41.48726,-75.904387,1,3,7,1970,3/7/1970
41.48726,-75.904387,1,3,7,1970,3/7/1970
43.9329,-81.82594,1,4,7,1970,4/7/1970
43.9329,-81.82594,1,10,7,1970,10/7/1970
44.32181,-62.88088,1,31,7,1970,31/7/1970
54.077313,-6.608787,2,11,8,1970,11/8/1970
54.597269,-5.930109,1,4,9,1970,4/9/1970
54.597269,-5.930109,1,30,9,1970,30/9/1970
54.597269,-5.930109,2,16,11,1970,16/11/1970
54.597269,-5.930109,1,23,12,1970,23/12/1970
54.597269,-5.930109,1,27,1,1971,27/1/1971
54.597269,-5.930109,1,6,2,1971,6/2/1971
44.32181,-62.88088,1,6,2,1971,6/2/1971
44.32181,-62.88088,1,6,2,1971,6/2/1971
54.63797,-6.14485,1,7,2,1971,7/2/1971
54.452223,-7.486124,5,9,2,1971,9/2/1971
54.597269,-5.930109,1,15,2,1971,15/2/1971
54.597269,-5.930109,2,26,2,1971,26/2/1971
43.9329,-81.82594,1,6,3,1971,6/3/1971
54.597269,-5.930109,1,8,3,1971,8/3/1971
54.625869,-5.982754,1,10,3,1971,10/3/1971
54.597269,-5.930109,1,8,5,1971,8/5/1971
44.32181,-62.88088,1,15,5,1971,15/5/1971
54.597269,-5.930109,1,22,5,1971,22/5/1971
54.597269,-5.930109,1,25,5,1971,25/5/1971
54.996613,-7.308575,1,8,7,1971,8/7/1971
54.996613,-7.308575,1,8,7,1971,8/7/1971
54.597269,-5.930109,1,12,7,1971,12/7/1971
54.597269,-5.930109,1,14,7,1971,14/7/1971
43.9329,-81.82594,1,7,8,1971,7/8/1971
54.597269,-5.930109,1,8,8,1971,8/8/1971
54.794595,-7.539339,1,9,8,1971,9/8/1971
54.597269,-5.930109,1,9,8,1971,9/8/1971
54.59868,-5.973555,6,9,8,1971,9/8/1971
44.32181,-62.88088,1,9,8,1971,9/8/1971
44.32181,-62.88088,1,9,8,1971,9/8/1971
44.32181,-62.88088,1,9,8,1971,9/8/1971
43.9329,-81.82594,1,9,8,1971,9/8/1971
43.9329,-81.82594,1,9,8,1971,9/8/1971
43.9329,-81.82594,1,9,8,1971,9/8/1971
54.99451,-7.319996,1,10,8,1971,10/8/1971
43.9329,-81.82594,1,10,8,1971,10/8/1971
54.34754,-6.65611,1,10,8,1971,10/8/1971
54.597269,-5.930109,1,11,8,1971,11/8/1971
54.597269,-5.930109,1,11,8,1971,11/8/1971
46.06122,-62.89376,1,11,8,1971,11/8/1971
43.9329,-81.82594,1,11,8,1971,11/8/1971
43.9329,-81.82594,1,11,8,1971,11/8/1971
44.32181,-62.88088,1,12,8,1971,12/8/1971
54.996613,-7.308575,1,13,8,1971,13/8/1971
54.597269,-5.930109,1,14,8,1971,14/8/1971
54.346531,-7.29838,1,18,8,1971,18/8/1971
54.996613,-7.308575,1,18,8,1971,18/8/1971
54.597269,-5.930109,1,25,8,1971,25/8/1971
54.597269,-5.930109,1,25,8,1971,25/8/1971
43.9329,-81.82594,1,27,8,1971,27/8/1971
54.077313,-6.608787,1,29,8,1971,29/8/1971
54.597269,-5.930109,1,30,8,1971,30/8/1971
54.22641,-7.649053,1,3,9,1971,3/9/1971
54.597269,-5.930109,1,3,9,1971,3/9/1971
54.18006,-6.33393,1,4,9,1971,4/9/1971
54.996613,-7.308575,1,6,9,1971,6/9/1971
54.552254,-6.086832,1,9,9,1971,9/9/1971
54.597269,-5.930109,1,13,9,1971,13/9/1971
54.597269,-5.930109,1,13,9,1971,13/9/1971
54.531707,-6.737144,1,14,9,1971,14/9/1971
54.597269,-5.930109,1,14,9,1971,14/9/1971
54.99451,-7.319996,1,14,9,1971,14/9/1971
54.996613,-7.308575,1,15,9,1971,15/9/1971
54.597269,-5.930109,1,16,9,1971,16/9/1971
54.597269,-5.930109,1,16,9,1971,16/9/1971
54.597269,-5.930109,1,17,9,1971,17/9/1971
54.823432,-7.468374,1,18,9,1971,18/9/1971
54.99451,-7.319996,1,28,9,1971,28/9/1971
54.597269,-5.930109,2,29,9,1971,29/9/1971
54.99451,-7.319996,1,30,9,1971,30/9/1971
54.597269,-5.930109,1,1,10,1971,1/10/1971
54.530989,-6.02939,1,2,10,1971,2/10/1971
54.597269,-5.930109,1,3,10,1971,3/10/1971
54.597269,-5.930109,1,4,10,1971,4/10/1971
54.597269,-5.930109,1,9,10,1971,9/10/1971
54.597269,-5.930109,2,15,10,1971,15/10/1971
54.597269,-5.930109,1,15,10,1971,15/10/1971
54.99451,-7.319996,1,16,10,1971,16/10/1971
54.597269,-5.930109,1,17,10,1971,17/10/1971
44.32181,-69.06708,1,17,10,1971,17/10/1971
54.597269,-5.930109,1,23,10,1971,23/10/1971
54.261018,-5.610076,3,23,10,1971,23/10/1971
44.4259,-69.0064,2,23,10,1971,23/10/1971
54.597269,-5.930109,1,24,10,1971,24/10/1971
46.06122,-62.89376,1,24,10,1971,24/10/1971
54.597269,-5.930109,1,26,10,1971,26/10/1971
54.99451,-7.319996,2,27,10,1971,27/10/1971
53.344104,-6.267494,1,27,10,1971,27/10/1971
44.32181,-62.88088,1,29,10,1971,29/10/1971
44.32181,-62.88088,1,31,10,1971,31/10/1971
54.597269,-5.930109,2,1,11,1971,1/11/1971
54.597269,-5.930109,3,2,11,1971,2/11/1971
44.32181,-62.88088,1,4,11,1971,4/11/1971
54.996613,-7.308575,1,6,11,1971,6/11/1971
54.467967,-6.337967,1,7,11,1971,7/11/1971
54.99451,-7.319996,1,9,11,1971,9/11/1971
54.597269,-5.930109,2,11,11,1971,11/11/1971
54.597269,-5.930109,1,12,11,1971,12/11/1971
54.597269,-5.930109,1,18,11,1971,18/11/1971
54.823432,-7.468374,1,24,11,1971,24/11/1971
54.467967,-6.337967,1,24,11,1971,24/11/1971
54.18006,-6.33393,2,27,11,1971,27/11/1971
54.597269,-5.930109,1,27,11,1971,27/11/1971
54.597269,-5.930109,1,28,11,1971,28/11/1971
54.077313,-6.608787,1,29,11,1971,29/11/1971
54.597269,-5.930109,1,4,12,1971,4/12/1971
54.597269,-5.930109,15,4,12,1971,4/12/1971
54.597269,-5.930109,1,6,12,1971,6/12/1971
54.351322,-6.837455,1,7,12,1971,7/12/1971
54.597269,-5.930109,1,8,12,1971,8/12/1971
54.794595,-7.539339,2,10,12,1971,10/12/1971
44.32181,-62.88088,1,10,12,1971,10/12/1971
54.597269,-5.930109,4,11,12,1971,11/12/1971
54.823432,-7.468374,1,12,12,1971,12/12/1971
54.346531,-7.29838,1,14,12,1971,14/12/1971
54.597269,-5.930109,1,16,12,1971,16/12/1971
54.597269,-5.930109,1,18,12,1971,18/12/1971
54.597269,-5.930109,1,20,12,1971,20/12/1971
54.597269,-5.930109,1,21,12,1971,21/12/1971
44.32181,-62.88088,1,21,12,1971,21/12/1971
54.99451,-7.319996,1,29,12,1971,29/12/1971
54.597269,-5.930109,1,5,1,1972,5/1/1972
43.9329,-81.82594,1,7,1,1972,7/1/1972
54.597269,-5.930109,1,12,1,1972,12/1/1972
54.684823,-5.965868,1,13,1,1972,13/1/1972
43.9329,-81.82594,1,16,1,1972,16/1/1972
54.597269,-5.930109,1,18,1,1972,18/1/1972
54.250039,-6.703625,1,21,1,1972,21/1/1972
54.255696,-5.948804,1,26,1,1972,26/1/1972
54.99451,-7.319996,2,27,1,1972,27/1/1972
54.597269,-5.930109,1,28,1,1972,28/1/1972
54.997061,-7.324785,14,30,1,1972,30/1/1972
54.597269,-5.930109,1,31,1,1972,31/1/1972
54.597269,-5.930109,7,1,2,1972,1/2/1972
54.597269,-5.930109,1,1,2,1972,1/2/1972
54.577389,-6.677339,1,2,2,1972,2/2/1972
43.9329,-81.82594,1,2,2,1972,2/2/1972
54.250039,-6.703625,2,6,2,1972,6/2/1972
54.597269,-5.930109,1,8,2,1972,8/2/1972
54.347539,-6.656108,1,8,2,1972,8/2/1972
54.131402,-6.586387,2,10,2,1972,10/2/1972
54.713379,-6.21676,1,10,2,1972,10/2/1972
54.184008,-7.360209,1,13,2,1972,13/2/1972
54.99451,-7.319996,1,16,2,1972,16/2/1972
54.479875,-6.228448,1,16,2,1972,16/2/1972
54.597269,-5.930109,1,17,2,1972,17/2/1972
54.597269,-5.930109,4,21,2,1972,21/2/1972
51.248429,-0.755979,7,22,2,1972,22/2/1972
51.248429,-0.755979,7,22,2,1972,22/2/1972
54.467967,-6.337967,1,29,2,1972,29/2/1972
54.18006,-6.33393,1,29,2,1972,29/2/1972
54.365171,-8.036373,1,1,3,1972,1/3/1972
