Title,Type,Latitude,Longitude,map,Country
"Koidula, Estonia", Road,57.834525,27.595566,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538167834500!6m8!1m7!1s6AnWq6l9mtCfLfM4Vto9Rw!2m2!1d57.83955264239995!2d27.59558598635491!3f202.18247329071244!4f1.806835134969731!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Koidula, Estonia",Railway,57.837018,27.608018,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d1502.3555707945898!2d27.6054963!3d57.837018!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTfCsDUwJzEzLjMiTiAyN8KwMzYnMjguOSJF!5e1!3m2!1sen!2sie!4v1538168117735"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Luhamaa, Estonia",Road,57.643354,27.381023,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538168283840!6m8!1m7!1sVGpu8pUIVdZTnb-1_LtKTQ!2m2!1d57.64149890734604!2d27.37066193569876!3f72.0422935927196!4f5.847451053940759!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Narva, Estonia",Railway,59.366933,28.206133,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1440.0164110083847!2d28.203944315464614!3d59.36693298167202!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTnCsDIyJzAxLjAiTiAyOMKwMTInMjIuMSJF!5e1!3m2!1sen!2sie!4v1538168930238"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Narva 1, Estonia",Road,59.37658,28.204135,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2904.2454121239666!2d28.20154103847915!3d59.37630781724849!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTnCsDIyJzM1LjciTiAyOMKwMTInMTQuOSJF!5e1!3m2!1sen!2sie!4v1538168772798"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Saatse, Estonia",Road,57.891926,27.815374,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538169136006!6m8!1m7!1ss_3MzzOPCnM-IDimRZ7CJg!2m2!1d57.89277887845662!2d27.81640006749807!3f22.4613582619722!4f-0.8821495737893912!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Estonia - Russia
"Imatra, Finland",Railway,61.126067,28.836921,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5309.9231394745775!2d28.822380873192696!3d61.12508044328615!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNjHCsDA3JzI5LjIiTiAyOMKwNDknNTYuMSJF!5e1!3m2!1sen!2sie!4v1538169413072"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Imatra, Finland",Road,61.126067,28.836921,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538169316297!6m8!1m7!1sCAoSK0FGMVFpcE5WYzU5U1pLTmU3UFhTQlpuRGZWRkhaclhld2ZPVTlSUUpWRTg.!2m2!1d61.13082268879762!2d28.82306989038565!3f121.31184984062847!4f9.116677020101406!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Inari, Finland",Road,68.476033,28.473092,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538169680551!6m8!1m7!1s4TXQvvhEsfr4hzl6_D4lxg!2m2!1d68.4765286925671!2d28.46133557813187!3f96.92042863215335!4f0.44612994170365994!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
"Kuusamo, Finland",Road,65.79824,30.103247,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538169813147!6m8!1m7!1scYfBAbRm-S9H-Hu8aEPf5g!2m2!1d65.79909437461191!2d30.09869740905393!3f139.15387293784502!4f1.491746751061953!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Finland - Russia
