id	name	population						
USA	United States	8.8						
SGP	Singapore	8.62						
FIN	Finland	8.28						
DEU	Germany	8.19						
SWE	Sweden	8.15						
DNK	Denmark	8.13						
JPN	Japan	8.11						
CAN	Canada	8.05						
FRA	France	7.99						
GBR	United Kingdom	7.96						
NOR	Norway	7.65						
AUS	Australia	7.56						
NZL	New Zealand	7.51						
NLD	Netherlands	7.1						
AUT	Austria	7.07						
ITA	Italy	7						
ARE	United Arab Emirates	7						
CHE	Switzerland	6.9						
IND	India	6.89						
MYS	Malaysia	6.76						
CHN	China	6.75						
ISR	Israel	6.73						
EST	Estonia	6.56						
LUX	Luxembourg	6.54						
ISL	Iceland	6.51						
BEL	Belgium	6.4						
KOR	"Korea, South"	6.36						
POL	Poland	6.34						
CZE	Czech Republic	6.3						
RUS	Russia	6.27						
LVA	Latvia	6.25						
PRT	Portugal	6.24						
MEX	Mexico	6.22						
IRL	Ireland	6.06						
QAT	Qatar	6.04						
LTU	Lithuania	5.97						
SVN	Slovenia	5.94						
URY	Uruguay	6.36						
CHL	Chile	5.81						
ESP	Spain	5.76						
173	Malta	5.72						
TWN	Taiwan	5.71						
COL	Colombia	5.68						
SVK	Slovakia	5.68						
BRA	Brazil	5.59						
BGR	Bulgaria	5.48						
PHL	Philippines	5.45						
TUR	Turkey	5.45						
HUN	Hungary	5.43						
TUN	Tunisia	5.43						
GRC	Greece	5.41						
CYP	Cyprus	5.4						
KEN	Kenya	5.37						
OMN	Oman	5.32						
ARG	Argentina	5.29						
AZE	Azerbaijan	5.24						
153	Mauritius	5.24						
THA	Thailand	5.22						
CRI	Costa Rica	5.2						
MKD	Macedonia	5.2						
MNE	Montenegro	5.2						
SRB	Serbia	5.2						
ROU	Romania	5.17						
KAZ	Kazakhstan	5.15						
PAN	Panama	5.14						
HRV	Croatia	5.11						
IDN	Indonesia	5.07						
TTO	Trinidad and Tobago	4.91						
UKR	Ukraine	4.87						
PER	Peru	4.83						
VNM	Vietnam	4.81						
IRN	Iran	4.79						
GEO	Georgia	4.78						
ZAF	South Africa	4.78						
JOR	Jordan	4.77						
GHA	Ghana	4.73						
KWT	Kuwait	4.73						
DOM	Dominican Republic	4.68						
SAU	Saudi Arabia	4.62						
ALB	Albania	4.61						
ARM	Armenia	4.59						
ECU	Ecuador	4.57						
SLV	El Salvador	4.57						
MDA	Moldova	4.53						
MAR	Morocco	4.53						
JAM	Jamaica	4.48						
BOL	Bolivia	4.4						
196	Seychelles	4.4						
PAK	Pakistan	4.33						
ZMB	Zambia	4.32						
NPL	Nepal	4.27						
SEN	Senegal	4.24						
TZA	Tanzania	4.24						
UGA	Uganda	4.18						
HND	Honduras	4.14						
KGZ	Kyrgyzstan	4.12						
BIH	Bosnia and Herzegovina	4.1						
TJK	Tajikistan	3.99						
RWA	Rwanda	3.97						
169	Cape Verde	3.94						
PRY	Paraguay	3.87						
163	Bahrain	3.83						
CIV	Cote d'Ivoire	3.81						
LKA	Sri Lanka	3.8						
BEN	Benin	3.73						
GMB	"Gambia, The"	3.6						
MLI	Mali	3.57						
BGD	Bangladesh	3.54						
ZWE	Zimbabwe	3.51						
NAM	Namibia	3.42						
MWI	Malawi	3.4						
GTM	Guatemala	3.39						
BTN	Bhutan	3.3						
NIC	Nicaragua	3.28						
NGA	Nigeria	3.28						
LSO	Lesotho	3.27						
LBN	Lebanon	3.22						
BWA	Botswana	3.21						
EGY	Egypt	3.21						
BRN	Brunei	3.14						
CMR	Cameroon	3.04						
MNG	Mongolia	2.93						
BFA	Burkina Faso	2.86						
BLR	Belarus	2.83						
KHM	Cambodia	2.81						
ETH	Ethiopia	2.78						
MOZ	Mozambique	2.75						
TCD	Chad	2.71						
AGO	Angola	2.67						
210	Liechtenstein	2.62						
MDG	Madagascar	2.57						
GAB	Gabon	2.55						
BHS	"Bahamas, The"	2.53						
VEN	Venezuela	2.48						
180	Barbados	2.43						
212	Monaco	2.43						
LAO	Laos	2.31						
LBR	Liberia	2.3						
198	Andorra	2.29						
DZA	Algeria	2.25						
GIN	Guinea	2.25						
207	Saint Kitts and Nevis	2.23						
DOM	Dominica	2.19						
197	Antigua and Barbuda	2.1						
GUY	Guyana	2.09						
211	San Marino	2.07						
NER	Niger	2.06						
BDI	Burundi	2.05						
193	Saint Vincent and the Grenadines	2.05						
HTI	Haiti	2.03						
MRT	Mauritania	2.02						
YEM	Yemen	1.95						
187	Saint Lucia	1.9						
SWZ	Swaziland	1.89						
SUR	Suriname	1.77						
IRQ	Iraq	1.66						
186	Sao Tome and Principe	1.48						
UZB	Uzbekistan	1.41						
MMR	Burma	1.39						
SLE	Sierra Leone	1.34						
GNQ	Equatorial Guinea	1.28						
TGO	Togo	1.14						
COG	"Congo, Republic of the"	1.09						
190	Grenada	1.09						
174	Maldives	1.05						
188	Tonga	1						
FJI	Fiji	0.99						
VUT	Vanuatu	0.84						
217	Palau	0.83						
185	Samoa	0.76						
BLZ	Belize	0.74						
CUB	Cuba	0.71						
TLS	Timor-Leste	0.69						
AFG	Afghanistan	0.68						
194	Kiribati	0.64						
SYR	Syria	0.64						
224	Tuvalu	0.6						
203	Marshall Islands	0.58						
PNG	Papua New Guinea	0.55						
DJI	Djibouti	0.53						
SLB	Solomon Islands	0.52						
TKM	Turkmenistan	0.5						
LBY	Libya	0.48						
COD	"Congo, Democratic Republic of the"	0.47						
191	"Micronesia, Federated States of"	0.46						
222	Nauru	0.46						
SDN	Sudan	0.39						
CAF	Central African Republic	0.37						
160	Comoros	0.33						
GNB	Guinea-Bissau	0.27						
SDS	South Sudan	0.23						
ERI	Eritrea	0.22						
PRK	"Korea, North"	0.22						
SOM	Somalia	0.17						
219	Dhekelia							
218	Akrotiri							
202	American Samoa							
221	Anguilla							
ATA	Antarctica 							
192	Aruba							
201	Bermuda							
215	British Virgin Islands							
206	Cayman Islands							
232	Christmas Island							
236	Cocos (Keeling) Islands							
223	Cook Islands							
FLK	Falkland Islands (Islas Malvinas)							
208	Faroe Islands							
179	French Polynesia							
ATF	French Southern and Antarctic Lands							
149	Gaza Strip							
214	Gibraltar							
GRL	Greenland							
204	Guernsey							
235	Holy See (Vatican City)							
HKG	Hong Kong							
199	Isle of Man							
195	Jersey							
KWT	Kosovo							
OSA	Kosovo							
168	Macau							
181	Mayotte							
228	Montserrat							
183	Netherlands Antilles							
NCL	New Caledonia							
234	Niue							
230	Norfolk Island							
209	Northern Mariana Islands							
237	Pitcairn Islands							
PRI	Puerto Rico							
226	Saint Barthelemy							
225	"Saint Helena, Ascension, and Tristan da Cunha"							
213	Saint Martin							
227	Saint Pierre and Miquelon							
ABV	Somaliland							
231	Svalbard							
233	Tokelau							
216	Turks and Caicos Islands							
189	Virgin Islands							
220	Wallis and Futuna							
PSE	West Bank							
ESH	Western Sahara							
