Country,Rank,Score
Singapore,1,9.186
United Kingdom,2,9.069
Germany,3,8.810
United States of America ,4,8.804
Finland,5,8.772
Sweden,6,8.674
Canada,6,8.674
France,8,8.608
Denmark,9,8.601
Japan,10,8.582
Australia,11,8.126
Norway,12,8.079
New Zealand,13,7.876
Netherlands ,14,7.659
Italy,15,7.533
Austria,16,7.527
India,17,7.515
Switzerland,18,7.461
United Arab Emirates,19,7.445
China,20,7.370
Israel,21,7.348
Malaysia,22,7.108
Estonia,23,6.968
Belgium,24,6.859
Luxembourg,25,6.857
South Korea,26,6.839
Poland,27,6.835
Iceland,28,6.809
Russia,29,6.748
Portugal,30,6.693
Czech Republic,31,6.673
Mexico,32,6.664
Latvia,33,6.548
Ireland,34,6.542
Uruguay,35,6.522
Spain,36,6.332
Lithuania,37,6.288
Slovenia,38,6.232
Chile,39,6.190
Brazil,40,6.157
Taiwan,41,6.152
Qatar,42,6.035
Malta,43,5.961
Colombia,44,5.945
Slovakia,45,5.923
Turkey,46,5.879
Bulgaria,47,5.806
Hungary,48,5.794
Greece,49,5.760
Philippines ,50,5.704
Argentina,51,5.684
Kenya,52,5.672
Cyprus,53,5.668
Tunisia,54,5.652
Romania,55,5.540
Thailand,56,5.458
Indonesia,57,5.420
Serbia,58,5.364
Oman,59,5.321
Mauritius,60,5.318
Republic of North Macedonia,61,5.284
Croatia,62,5.273
Ukraine,63,5.266
Azerbaijan,64,5.244
Kazakhstan,65,5.236
Costa Rica,66,5.202
Montenegro,67,5.195
South Africa,68,5.152
Panama,69,5.136
Vietnam,70,5.081
Peru,71,5.076
Iran ,72,5.049
Trinidad and Tobago,73,5.038
Jordan,74,4.927
Ghana,75,4.888
Georgia,76,4.863
Dominican Republic ,77,4.804
Saudi Arabia,78,4.779
Kuwait,79,4.725
Morocco,80,4.717
Armenia,81,4.716
Ecuador,82,4.646
Albania,83,4.614
Pakistan,84,4.570
El Salvador,85,4.566
Moldova,86,4.534
Jamaica,87,4.476
Nepal,88,4.400
Bolivia ,89,4.399
Seychelles,90,4.397
Uganda,91,4.370
Zambia,92,4.319
Senegal,93,4.235
Tanzania,93,4.235
Bosnia and Herzegovina,95,4.183
Honduras,96,4.135
Kyrgyzstan,97,4.125
Tajikistan,98,3.991
Rwanda,99,3.973
Bahrain,100,3.962
Cape Verde,101,3.943
Paraguay,102,3.873
Bangladesh,103,3.808
Côte d'Ivoire,104,3.807
Sri Lanka,105,3.795
Benin,106,3.730
Nigeria,107,3.612
Gambia,108,3.602
Mali,109,3.573
Zimbabwe,110,3.511
Egypt,111,3.492
Lebanon,112,3.487
Namibia,113,3.422
Malawi,114,3.403
Guatemala,115,3.385
Bhutan,116,3.305
Nicaragua,117,3.280
Lesotho,118,3.266
Cameroon,119,3.232
Botswana,120,3.210
Brunei Darussalam,121,3.143
Belarus,122,3.095
Mongolia,123,3.008
Burkina Faso,124,2.859
Cambodia,125,2.810
Ethiopia,126,2.777
Mozambique,127,2.753
Chad,128,2.712
Angola,129,2.666
Liechtenstein,130,2.619
Madagascar,131,2.570
Gabon,132,2.549
Bahamas ,133,2.527
Venezuela ,134,2.476
Monaco,135,2.430
Barbados,135,2.430
Laos,137,2.314
Liberia,138,2.304
Andorra,139,2.290
Guinea,140,2.251
Algeria,141,2.246
Saint Kitts and Nevis,142,2.230
Dominica,143,2.191
Antigua and Barbuda,144,2.099
Guyana,145,2.094
San Marino,146,2.071
Niger,147,2.055
Burundi,148,2.054
Saint Vincent and the Grenadines,149,2.052
Haiti,150,2.034
Mauritania,151,2.024
Yemen,152,1.955
Saint Lucia,153,1.901
Eswatini,154,1.889
Suriname,155,1.769
Iraq,156,1.657
Sao Tome and Principe,157,1.481
Uzbekistan,158,1.412
Myanmar,159,1.385
Sierra Leone,160,1.344
Equatorial Guinea,161,1.278
Togo,162,1.139
Congo ,163,1.093
Grenada,164,1.086
Maldives,165,1.055
Tonga,166,0.996
Fiji,167,0.993
Vanuatu,168,0.837
Palau,169,0.829
Samoa,170,0.764
Belize,171,0.745
Cuba,172,0.709
Timor-Leste,173,0.694
Afghanistan,174,0.684
Syria,175,0.645
Kiribati,176,0.644
Tuvalu,177,0.600
Marshall Islands,178,0.584
Papua New Guinea,179,0.550
Djibouti,180,0.532
Solomon Islands,181,0.525
Turkmenistan,182,0.497
Libya,183,0.481
Democratic Republic of the Congo ,184,0.470
Nauru,185,0.464
Micronesia ,186,0.461
Sudan,187,0.392
Central African Republic,188,0.367
Comoros ,189,0.331
Guinea-Bissau,190,0.265
South Sudan,191,0.233
Eritrea,192,0.217
North Korea,193,0.216
Somalia,194,0.168
