latitude,longitude,capacity,iday,imonth,iyear,date
53.344104,-6.267494,1,3,4,1970,03/04/1970
54.99451,-7.319996,5,26,6,1970,26/06/1970
54.99451,-7.319996,3,27,6,1970,27/06/1970
54.597269,-5.930109,3,27,6,1970,27/06/1970
54.597269,-5.930109,1,27,6,1970,27/06/1970
54.597269,-5.930109,1,27,6,1970,27/06/1970
54.077313,-6.608787,2,11,8,1970,11/08/1970
54.597269,-5.930109,1,4,9,1970,04/09/1970
54.597269,-5.930109,1,30,9,1970,30/09/1970
54.597269,-5.930109,2,16,11,1970,16/11/1970
54.597269,-5.930109,1,23,12,1970,23/12/1970
54.597269,-5.930109,1,27,1,1971,27/01/1971
54.597269,-5.930109,1,6,2,1971,06/02/1971
54.63797,-6.14485,1,7,2,1971,07/02/1971
54.452223,-7.486124,5,9,2,1971,09/02/1971
54.597269,-5.930109,1,15,2,1971,15/02/1971
54.597269,-5.930109,2,26,2,1971,26/02/1971
54.597269,-5.930109,1,8,3,1971,08/03/1971
54.625869,-5.982754,1,10,3,1971,10/03/1971
54.597269,-5.930109,1,8,5,1971,08/05/1971
54.597269,-5.930109,1,22,5,1971,22/05/1971
54.597269,-5.930109,1,25,5,1971,25/05/1971
54.597269,-5.930109,1,12,7,1971,12/07/1971
54.597269,-5.930109,1,14,7,1971,14/07/1971
54.597269,-5.930109,1,8,8,1971,08/08/1971
54.597269,-5.930109,1,9,8,1971,09/08/1971
54.794595,-7.539339,1,9,8,1971,09/08/1971
54.99451,-7.319996,1,10,8,1971,10/08/1971
54.597269,-5.930109,1,11,8,1971,11/08/1971
54.597269,-5.930109,1,11,8,1971,11/08/1971
54.597269,-5.930109,1,14,8,1971,14/08/1971
54.597269,-5.930109,1,25,8,1971,25/08/1971
54.597269,-5.930109,1,25,8,1971,25/08/1971
54.077313,-6.608787,1,29,8,1971,29/08/1971
54.597269,-5.930109,1,30,8,1971,30/08/1971
54.22641,-7.649053,1,3,9,1971,03/09/1971
54.597269,-5.930109,1,3,9,1971,03/09/1971
54.18006,-6.33393,1,4,9,1971,04/09/1971
54.552254,-6.086832,1,9,9,1971,09/09/1971
54.597269,-5.930109,1,13,9,1971,13/09/1971
54.597269,-5.930109,1,13,9,1971,13/09/1971
54.99451,-7.319996,1,14,9,1971,14/09/1971
54.531707,-6.737144,1,14,9,1971,14/09/1971
54.597269,-5.930109,1,14,9,1971,14/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,17,9,1971,17/09/1971
54.823432,-7.468374,1,18,9,1971,18/09/1971
54.99451,-7.319996,1,28,9,1971,28/09/1971
54.597269,-5.930109,2,29,9,1971,29/09/1971
54.99451,-7.319996,1,30,9,1971,30/09/1971
