latitude,longitude,capacity,iday,imonth,iyear,date
18.456792,-69.951164,1,2,7,1970,02/07/1970
15.478598,120.599741,1,0,1,1970,31/12/1969
14.624422,-90.53288,1,20,1,1970,20/01/1970
48.139126,11.580186,1,10,2,1970,10/02/1970
48.139126,11.580186,7,13,2,1970,13/02/1970
37.777125,-122.419644,1,16,2,1970,16/02/1970
47.36865,8.539182,47,21,2,1970,21/02/1970
18.46617,-66.106654,2,5,3,1970,05/03/1970
39.53894,-76.348479,2,9,3,1970,09/03/1970
42.331685,-83.047924,1,20,3,1970,20/03/1970
15.153002,120.591942,1,24,3,1970,24/03/1970
14.624422,-90.53288,1,31,3,1970,31/03/1970
15.185916,120.54187,2,2,4,1970,02/04/1970
53.344104,-6.267494,1,3,4,1970,03/04/1970
39.290555,-76.609604,1,24,4,1970,24/04/1970
-25.282773,-57.63561,1,4,5,1970,04/05/1970
38.551295,-121.471066,1,9,5,1970,09/05/1970
47.60356,-122.329439,1,15,5,1970,15/05/1970
44.946604,-93.136446,1,22,5,1970,22/05/1970
38.579065,-121.491014,1,28,5,1970,28/05/1970
-34.6037,-58.381503,1,29,5,1970,29/05/1970
11.586558,122.753716,1,2,6,1970,02/06/1970
31.950001,35.933331,1,10,6,1970,10/06/1970
-22.908278,-43.197026,1,11,6,1970,11/06/1970
41.88415,-87.632409,1,19,6,1970,19/06/1970
37.770822,-122.43445,1,19,6,1970,19/06/1970
54.99451,-7.319996,5,26,6,1970,26/06/1970
54.99451,-7.319996,3,27,6,1970,27/06/1970
54.597269,-5.930109,1,27,6,1970,27/06/1970
54.597269,-5.930109,1,27,6,1970,27/06/1970
54.597269,-5.930109,3,27,6,1970,27/06/1970
40.617623,-74.417061,1,30,6,1970,30/06/1970
33.895285,-118.224329,1,2,7,1970,02/07/1970
41.637675,-70.930869,1,11,7,1970,11/07/1970
41.903965,-87.638367,2,17,7,1970,17/07/1970
38.62774,-90.199514,1,26,7,1970,26/07/1970
-34.891151,-56.187214,1,31,7,1970,31/07/1970
-26.808285,-65.21759,1,6,8,1970,06/08/1970
37.338475,-121.885794,1,6,8,1970,06/08/1970
37.97457,-122.532474,4,7,8,1970,07/08/1970
54.077313,-6.608787,2,11,8,1970,11/08/1970
33.60651,-88.650419,1,15,8,1970,15/08/1970
41.260675,-95.940469,1,17,8,1970,17/08/1970
37.869885,-122.270539,1,20,8,1970,20/08/1970
43.07295,-89.386694,1,24,8,1970,24/08/1970
-34.891151,-56.187214,2,0,9,1970,31/08/1970
37.97918,23.716647,2,2,9,1970,02/09/1970
54.597269,-5.930109,1,4,9,1970,04/09/1970
32.085688,34.783684,1,6,9,1970,06/09/1970
41.65381,-83.536259,1,18,9,1970,18/09/1970
42.350097,-71.156442,1,23,9,1970,23/09/1970
54.597269,-5.930109,1,30,9,1970,30/09/1970
46.803137,-71.241298,1,10,10,1970,10/10/1970
42.331685,-83.047924,1,24,10,1970,24/10/1970
-34.6037,-58.381503,1,27,10,1970,27/10/1970
24.893379,67.028061,1,1,11,1970,01/11/1970
41.001845,-80.34724,1,1,11,1970,01/11/1970
37.005105,-89.176269,1,8,11,1970,08/11/1970
-34.6037,-58.381503,1,15,11,1970,15/11/1970
54.597269,-5.930109,2,16,11,1970,16/11/1970
-22.908278,-43.197026,1,7,12,1970,07/12/1970
54.597269,-5.930109,1,23,12,1970,23/12/1970
-34.891151,-56.187214,1,11,1,1971,11/01/1971
37.72761,-122.370261,1,13,1,1971,13/01/1971
40.78306,-73.971249,1,24,1,1971,24/01/1971
54.597269,-5.930109,1,27,1,1971,27/01/1971
34.05349,-118.245319,1,29,1,1971,29/01/1971
54.597269,-5.930109,1,6,2,1971,06/02/1971
54.63797,-6.14485,1,7,2,1971,07/02/1971
54.452223,-7.486124,5,9,2,1971,09/02/1971
54.597269,-5.930109,1,15,2,1971,15/02/1971
25.831764,-80.216715,1,20,2,1971,20/02/1971
54.597269,-5.930109,2,26,2,1971,26/02/1971
54.597269,-5.930109,1,8,3,1971,08/03/1971
54.625869,-5.982754,1,10,3,1971,10/03/1971
37.474249,49.458725,3,0,4,1971,31/03/1971
33.953349,-117.396156,2,2,4,1971,02/04/1971
35.696442,51.422974,1,7,4,1971,07/04/1971
59.332788,18.064488,1,7,4,1971,07/04/1971
-34.921295,-57.954333,3,11,4,1971,11/04/1971
40.712784,-74.005941,1,17,4,1971,17/04/1971
18.46617,-66.106654,3,19,4,1971,19/04/1971
-34.458721,-58.90725,1,29,4,1971,29/04/1971
37.869885,-122.270539,1,29,4,1971,29/04/1971
38.525255,-118.624627,1,6,5,1971,06/05/1971
54.597269,-5.930109,1,8,5,1971,08/05/1971
41.011915,28.972531,1,17,5,1971,17/05/1971
40.712784,-74.005941,2,21,5,1971,21/05/1971
54.597269,-5.930109,1,22,5,1971,22/05/1971
54.597269,-5.930109,1,25,5,1971,25/05/1971
40.712784,-74.005941,1,5,6,1971,05/06/1971
54.597269,-5.930109,1,12,7,1971,12/07/1971
54.597269,-5.930109,1,14,7,1971,14/07/1971
-31.399301,-64.182129,1,28,7,1971,28/07/1971
54.597269,-5.930109,1,8,8,1971,08/08/1971
54.597269,-5.930109,1,9,8,1971,09/08/1971
54.794595,-7.539339,1,9,8,1971,09/08/1971
54.99451,-7.319996,1,10,8,1971,10/08/1971
54.597269,-5.930109,1,11,8,1971,11/08/1971
54.597269,-5.930109,1,11,8,1971,11/08/1971
54.597269,-5.930109,1,14,8,1971,14/08/1971
33.44865,-84.454564,1,15,8,1971,15/08/1971
33.748315,-84.391109,1,15,8,1971,15/08/1971
54.597269,-5.930109,1,25,8,1971,25/08/1971
54.597269,-5.930109,1,25,8,1971,25/08/1971
37.777125,-122.419644,1,29,8,1971,29/08/1971
54.077313,-6.608787,1,29,8,1971,29/08/1971
54.597269,-5.930109,1,30,8,1971,30/08/1971
11.558831,104.917445,2,0,9,1971,31/08/1971
54.22641,-7.649053,1,3,9,1971,03/09/1971
54.597269,-5.930109,1,3,9,1971,03/09/1971
54.18006,-6.33393,1,4,9,1971,04/09/1971
54.552254,-6.086832,1,9,9,1971,09/09/1971
54.597269,-5.930109,1,13,9,1971,13/09/1971
54.597269,-5.930109,1,13,9,1971,13/09/1971
54.99451,-7.319996,1,14,9,1971,14/09/1971
54.531707,-6.737144,1,14,9,1971,14/09/1971
54.597269,-5.930109,1,14,9,1971,14/09/1971
31.766496,35.21172,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,16,9,1971,16/09/1971
54.597269,-5.930109,1,17,9,1971,17/09/1971
54.823432,-7.468374,1,18,9,1971,18/09/1971
40.617623,-74.417061,1,18,9,1971,18/09/1971
54.99451,-7.319996,1,28,9,1971,28/09/1971
54.597269,-5.930109,2,29,9,1971,29/09/1971
54.99451,-7.319996,1,30,9,1971,30/09/1971
54.597269,-5.930109,1,1,10,1971,01/10/1971
54.530989,-6.02939,1,2,10,1971,02/10/1971
54.597269,-5.930109,1,3,10,1971,03/10/1971
54.597269,-5.930109,1,4,10,1971,04/10/1971
54.597269,-5.930109,1,9,10,1971,09/10/1971
54.597269,-5.930109,2,15,10,1971,15/10/1971
54.597269,-5.930109,1,15,10,1971,15/10/1971
54.99451,-7.319996,1,16,10,1971,16/10/1971
54.597269,-5.930109,1,17,10,1971,17/10/1971
54.597269,-5.930109,1,23,10,1971,23/10/1971
54.597269,-5.930109,1,24,10,1971,24/10/1971
54.597269,-5.930109,1,26,10,1971,26/10/1971
54.99451,-7.319996,2,27,10,1971,27/10/1971
53.344104,-6.267494,1,27,10,1971,27/10/1971
54.597269,-5.930109,2,1,11,1971,01/11/1971
54.597269,-5.930109,3,2,11,1971,02/11/1971
33.748315,-84.391109,1,3,11,1971,03/11/1971
54.467967,-6.337967,1,7,11,1971,07/11/1971
54.99451,-7.319996,1,9,11,1971,09/11/1971
54.597269,-5.930109,2,11,11,1971,11/11/1971
54.597269,-5.930109,1,12,11,1971,12/11/1971
54.597269,-5.930109,1,18,11,1971,18/11/1971
54.823432,-7.468374,1,24,11,1971,24/11/1971
54.467967,-6.337967,1,24,11,1971,24/11/1971
54.18006,-6.33393,2,27,11,1971,27/11/1971
54.597269,-5.930109,1,27,11,1971,27/11/1971
30.05,31.25,1,28,11,1971,28/11/1971
54.597269,-5.930109,1,28,11,1971,28/11/1971
