latitude,longitude,capacity,iday,imonth,iyear,date,city,region_txt,provstate,country_txt,attacktype
37.99749,23.762728,,0,1,1970,25568,Athens,Western Europe,Attica,Greece,Bombing/Explosion
48.139126,11.580186,1,10,2,1970,25609,Munich,Western Europe,Bavaria,West Germany (FRG),Armed Assault
48.139126,11.580186,7,13,2,1970,25612,Munich,Western Europe,Bavaria,West Germany (FRG),Facility/Infrastructure Attack
47.36865,8.539182,47,21,2,1970,25620,Zurich,Western Europe,Zurich,Switzerland,Bombing/Explosion
53.361675,-6.245485,1,3,4,1970,25661,Dublin,Western Europe,Dublin,Ireland,Armed Assault
31.950001,35.933331,1,10,6,1970,25729,Amman,Middle East & North Africa,Amman,Jordan,Assassination
55.011562,-7.312045,5,26,6,1970,25745,Londonderry,Western Europe,Northern Ireland,United Kingdom,Armed Assault
55.011562,-7.312045,3,27,6,1970,25746,Londonderry,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,1,27,6,1970,25746,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,1,27,6,1970,25746,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,3,27,6,1970,25746,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.077313,-6.608787,2,11,8,1970,25791,Crossmaglen,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
37.99749,23.762728,2,2,9,1970,25813,Athens,Western Europe,Attica,Greece,Bombing/Explosion
54.607712,-5.95621,1,4,9,1970,25815,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
52.370216,4.895168,1,6,9,1970,25817,Amsterdam,Western Europe,North Holland,Netherlands,Hijacking
54.607712,-5.95621,1,30,9,1970,25841,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,2,16,11,1970,25888,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,1,23,12,1970,25925,Belfast,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.607712,-5.95621,1,27,1,1971,25960,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,6,2,1971,25970,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.63797,-6.14485,1,7,2,1971,25971,Nutt's Corner,Western Europe,Northern Ireland,United Kingdom,Assassination
54.452223,-7.486124,5,9,2,1971,25973,Trillick,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,15,2,1971,25979,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,2,26,2,1971,25990,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,8,3,1971,26000,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,10,3,1971,26002,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
37.474249,49.458725,3,0,4,1971,26023,Bandar Anzali,Middle East & North Africa,Gilan,Iran,Unknown
35.724533,51.40519,1,7,4,1971,26030,Tehran,Middle East & North Africa,Tehran,Iran,Assassination
59.332788,18.064488,1,7,4,1971,26030,Stockholm,Western Europe,Stockholm,Sweden,Assassination
54.607712,-5.95621,1,8,5,1971,26061,Belfast,Western Europe,Northern Ireland,United Kingdom,Facility/Infrastructure Attack
41.106178,28.689863,1,17,5,1971,26070,Istanbul,Middle East & North Africa,Istanbul,Turkey,Hostage Taking (Kidnapping)
54.607712,-5.95621,1,22,5,1971,26075,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,25,5,1971,26078,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,12,7,1971,26126,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,14,7,1971,26128,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,8,8,1971,26153,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,9,8,1971,26154,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.794884,-7.537385,1,9,8,1971,26154,Clady,Western Europe,Northern Ireland,United Kingdom,Assassination
55.011562,-7.312045,1,10,8,1971,26155,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,11,8,1971,26156,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,11,8,1971,26156,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,14,8,1971,26159,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,25,8,1971,26170,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,25,8,1971,26170,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.077313,-6.608787,1,29,8,1971,26174,Crossmaglen,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,30,8,1971,26175,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.22641,-7.649053,1,3,9,1971,26179,Kinawley,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,3,9,1971,26179,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.183052,-6.341388,1,4,9,1971,26180,Newry,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.552254,-6.086832,1,9,9,1971,26185,Unknown,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,13,9,1971,26189,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,13,9,1971,26189,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
55.011562,-7.312045,1,14,9,1971,26190,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.531707,-6.737144,1,14,9,1971,26190,Edendork,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,14,9,1971,26190,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
31.771599,35.2034,1,16,9,1971,26192,Jerusalem,Middle East & North Africa,Jerusalem,Israel,Bombing/Explosion
54.607712,-5.95621,1,16,9,1971,26192,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,16,9,1971,26192,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,17,9,1971,26193,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.819164,-7.467909,1,18,9,1971,26194,Strabane,Western Europe,Northern Ireland,United Kingdom,Assassination
55.011562,-7.312045,1,28,9,1971,26204,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,2,29,9,1971,26205,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
55.011562,-7.312045,1,30,9,1971,26206,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,1,10,1971,26207,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.530989,-6.02939,1,2,10,1971,26208,Lambeg,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,3,10,1971,26209,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,4,10,1971,26210,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,9,10,1971,26215,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,2,15,10,1971,26221,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,15,10,1971,26221,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
55.011562,-7.312045,1,16,10,1971,26222,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,17,10,1971,26223,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,23,10,1971,26229,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,24,10,1971,26230,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,26,10,1971,26232,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
