latitude,longitude,capacity,iday,imonth,iyear,date,,,,,Total
54.610901,-6.786289,1,28,2,2020,28/02/2020,Nothern Ireland,first case,1,https://www.publichealth.hscni.net/sites/default/files/2020-03/COVID-19%20-%2029%20February%202020.pdf,1
53.308134,-6.270769,1,29,2,2020,29/02/2020,East,1st,1,https://www.bbc.com/news/world-europe-51693259,
53.308134,-6.270769,2,3,3,2020,03/03/2020,East,2nd  ,2,https://www.echolive.ie/nationalnews/Second-coronavirus-case-confirmed-in-Ireland-2ca5fd12-4fdb-424a-be23-7bd8fef3150f-ds,
53.275376,-8.740568,4,4,3,2020,04/03/2020,West,3rd confirmed,,,
53.275376,-8.740568,4,4,3,2020,04/03/2020,West,4th confirmed,,,
53.275376,-8.740568,4,4,3,2020,04/03/2020,West,5th confirmed,,,
53.275376,-8.740568,4,4,3,2020,04/03/2020,West,6th confirmed,6,https://www.irishmirror.ie/news/irish-news/breaking-four-new-cases-coronavirus-21633914,
53.308134,-6.270769,7,5,3,2020,05/03/2020,East,7th,,,
53.308134,-6.270769,7,5,3,2020,05/03/2020,East,7th,,,
53.308134,-6.270769,7,5,3,2020,05/03/2020,East,7th,,,
53.308134,-6.270769,7,5,3,2020,05/03/2020,East,7th,4,https://www.irishtimes.com/news/health/coronavirus-timeline-the-cases-confirmed-in-ireland-so-far-1.4195178,
53.308134,-6.270769,6,5,3,2020,05/03/2020,West ,7th,,,
53.308134,-6.270769,6,5,3,2020,05/03/2020,West,7th,2,https://www.irishtimes.com/news/health/coronavirus-timeline-the-cases-confirmed-in-ireland-so-far-1.4195178,Clare
52.124004,-7.888484,1,5,3,2020,05/03/2020,South,7th,1,https://www.irishtimes.com/news/health/coronavirus-timeline-the-cases-confirmed-in-ireland-so-far-1.4195178,Cork
54.610901,-6.786289,4,6,3,2020,06/03/2020,Nothern Ireland,2nd confirmed,3,,
54.610901,-6.786289,4,6,3,2020,06/03/2020,Nothern Ireland,2nd confirmed,3,,
54.610901,-6.786289,4,6,3,2020,06/03/2020,Nothern Ireland,2nd confirmed,3,,4
53.308134,-6.270769,8,6,3,2020,06/03/2020,East,8th,1,,
53.275376,-8.740568,7,6,3,2020,06/03/2020,West,8th,1,,
52.124004,-7.888484,4,6,3,2020,06/03/2020,South,8th,,,
52.124004,-7.888484,4,6,3,2020,06/03/2020,South,8th,,,
