id,name,party,option_code,color,,,,
5462abf5a87408609940efb1,Maria Bailey,Fine Gael,1,blue,,,,
5462abeea87408609940edeb,Sean Barrett,Fine Gael,1,blue,,,,
5462abdfa87408609940ea35,Pat Breen,Fine Gael,1,blue,,,,
5462abf2a87408609940eee5,Colm Brophy,Fine Gael,1,blue,,,,
5462abe7a87408609940ec2f,Richard Bruton,Fine Gael,1,blue,,,,
5462abe7a87408609940ec31,Peter Burke,Fine Gael,1,blue,,,,
5462abf6a87408609940efc3,Catherine Byrne,Fine Gael,1,blue,,,,
5462abf5a87408609940ef7f,Ciaran Cannon,Fine Gael,1,blue,,,,
5462abe0a87408609940ea7b,Joe Carey,Fine Gael,1,blue,,,,
5462abe5a87408609940ebd7,Marcella Corcoran Kennedy,Fine Gael,1,blue,"",,,
5462abeda87408609940edcf,Simon Coveney,Fine Gael,1,blue,,,,
5462abe6a87408609940ebf5,Leo Varadkar,Fine Gael,1,blue,Michael Creed,Fine Gael,1,blue
5462abfba87408609940f0dd,Michael D'Arcy,Fine Gael,1,blue,,,,
5462abf5a87408609940efad,Jim Daly,Fine Gael,1,blue,,,,
5462abe5a87408609940ebd3,John Deasy,Fine Gael,1,blue,,,,
5462abe5a87408609940ebc1,Pat Deering,Fine Gael,1,blue,,,,
5462abf7a87408609940efef,Regina Doherty,Fine Gael,1,blue,,,,
5462abe0a87408609940ea57,Paschal Donohoe,Fine Gael,1,blue,,,,
5462abe8a87408609940ec77,Andrew Doyle,Fine Gael,1,blue,,,,
5462abe0a87408609940ea9f,Bernard Durkan,Fine Gael,1,blue,,,,
5462abdfa87408609940ea07,Damien English,Fine Gael,1,blue,,,,
5462abe4a87408609940eb89,Alan Farrell,Fine Gael,1,blue,,,,
5462abf6a87408609940efcd,Frances Fitzgerald,Fine Gael,1,blue,,,,
5462abeda87408609940eddf,Michael Noonan,Fine Gael,1,blue,,,,
5462abeca87408609940ed71,Charles Flanagan,Fine Gael,1,blue,,,,
5462abfaa87408609940f087,Brendan Griffin,Fine Gael,1,blue,,,,
5462abeca87408609940ed73,Simon Harris,Fine Gael,1,blue,,,,
5462abeba87408609940ed69,Patrick O'Donovan,Fine Gael,1,blue,,,,
5462abe9a87408609940eca1,Heather Humphreys,Fine Gael,1,blue,,,,
5462abf2a87408609940ef0b,Noel Rock,Fine Gael,1,blue,,,,
5462abeea87408609940ede9,Eoghan Murphy,Fine Gael,1,blue,,,,
5462abf3a87408609940ef43,Sean Kyne,Fine Gael,1,blue,,,,
5462abe3a87408609940eb6f,Josepha Madigan,Fine Gael,1,blue,,,,
5462abf8a87408609940f01f,Enda Kenny (no vote),Fine Gael,0,blue,,,,
